BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Distance,PRICE_BY_SQFT,Borough,House_Type
Brokered by Winzone Realty Inc,Multi-family home for sale,1980000,3,3.0,3536.0,2635 E 19th St,"Brooklyn, NY 11235","2635 E 19th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,East 19th Street,"2635 E 19th St, Brooklyn, NY 11235, USA",40.5875466,-73.9501033,9.915480259005093,559.9547511312218,,Multi-family
Brokered by COMPASS,Co-op for sale,1950000,2,2.0,2184.207862,350 Bleecker St Unit 3WX,"Manhattan, NY 10014","350 Bleecker St Unit 3WXManhattan, NY 10014",New York,New York County,New York,Manhattan,350,"350 Bleecker St #3w, New York, NY 10014, USA",40.7341122,-74.004816,3.6507246514614926,892.7721733473002,,Co-op
Brokered by Han Tang Realty Inc.,Multi-family home for sale,919000,6,3.0,1760.0,2039 Continental Ave,"Bronx, NY 10461","2039 Continental AveBronx, NY 10461",United States,New York,Bronx County,The Bronx,Continental Avenue,"2039 Continental Ave, Bronx, NY 10461, USA",40.8529073,-73.830339,10.075497440317871,522.1590909090909,,Multi-family
Brokered by Coleman Real Estate Team,House for sale,285000,3,2.3738608579684373,2184.207862,372 Atkins Ave,"Brooklyn, NY 11208","372 Atkins AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Atkins Avenue,"372 Atkins Ave, Brooklyn, NY 11208, USA",40.6695084,-73.8779921,5.17847765558455,130.48208687383618,Brooklyn,House
Brokered by Brown Harris Stevens,Co-op for sale,499000,3,2.0,1200.0,1100 Grand Concourse Apt 2F,"Bronx, NY 10456","1100 Grand Concourse Apt 2FBronx, NY 10456",New York,Bronx County,The Bronx,3G,1100,"1100 Grand Concourse #2f, Bronx, NY 10456, USA",40.831991,-73.919124,7.0554040974057655,415.8333333333333,,Co-op
Brokered by Brown Harris Stevens,Co-op for sale,359000,2,1.0,850.0,1901 Madison Ave Apt 412,"Manhattan, NY 10035","1901 Madison Ave Apt 412Manhattan, NY 10035",New York,New York County,New York,Manhattan,1901,"1901 Madison Ave Apt 412, New York, NY 10035, USA",40.804259,-73.9415268,5.09932757354977,422.3529411764706,,Co-op
NoBroker,Condo for sale,771770,2,2.0,710.0,134-16 35th Ave Unit 11D,"Flushing, NY 11354","134-16 35th Ave Unit 11DFlushing, NY 11354",New York,Queens County,Queens,Flushing,134-16,"134-16 35th Ave #11d, Flushing, NY 11354, USA",40.7639577,-73.8325965,5.846225406551475,1087.0,,Condo
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,3550000,3,2.0,2693.0,144 W 18th St Apt 3E,"New York, NY 10011","144 W 18th St Apt 3ENew York, NY 10011",New York,New York County,New York,Manhattan,144,"144 W 18th St #3e, New York, NY 10011, USA",40.7404065,-73.9970822,3.307623285147463,1318.232454511697,,Condo
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate,Townhouse for sale,9750000,8,7.0,7228.0,53 E 64th St Unit Th,"New York, NY 10065","53 E 64th St Unit ThNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"53 E 64th St, New York, NY 10065, USA",40.7664631,-73.9679613,3.0116362772838836,1348.9208633093526,,Townhouse
Brokered by BHHS New York Properties,Co-op for sale,4395000,6,4.0,2700.0,47 E 88th St Unit 4C,"New York, NY 10128","47 E 88th St Unit 4CNew York, NY 10128",New York,New York County,New York,Manhattan,47,"47 E 88th St #4c, New York, NY 10128, USA",40.7822272,-73.9575194,3.7521968811756055,1627.7777777777778,,Co-op
Brokered by Corcoran East Side,Co-op for sale,695000,1,2.0,2184.207862,955 Lexington Ave # 11A,"New York, NY 10021","955 Lexington Ave # 11ANew York, NY 10021",New York,New York County,New York,Manhattan,955,"955 Lexington Ave #11a, New York, NY 10021, USA",40.7687538,-73.9631311,3.0128019062561147,318.19315921865314,,Co-op
Brokered by EXIT REALTY FIRST CHOICE,Multi-family home for sale,1398000,4,2.0,2184.207862,73-28 173rd St,"Fresh Meadows, NY 11366","73-28 173rd StFresh Meadows, NY 11366",United States,New York,Queens County,Queens,173rd Street,"73-28 173rd St, Flushing, NY 11366, USA",40.7283735,-73.7970194,7.238902148527735,640.048973507449,,Multi-family
Brokered by COMPASS,Condo for sale,645000,3,1.0,419.0,181 7th Ave Apt 5A,"Manhattan, NY 10011","181 7th Ave Apt 5AManhattan, NY 10011",New York,New York County,New York,Manhattan,181,"181 7th Ave #5a, New York, NY 10011, USA",40.7424515,-73.996531,3.311385497567965,1539.3794749403341,,Condo
Brokered by Welcome Home Realty Network,Multi-family home for sale,859000,6,3.0,2184.207862,1266 Findlay Ave,"Bronx, NY 10456","1266 Findlay AveBronx, NY 10456",United States,New York,Bronx County,The Bronx,Findlay Avenue,"1266 Findlay Ave, Bronx, NY 10456, USA",40.8340749,-73.9113421,7.257341775691263,393.2775881565799,,Multi-family
Brokered by COMPASS,Condo for sale,1250000,2,2.0,1434.0,380 Lenox Ave Unit 4B,"Manhattan, NY 10027","380 Lenox Ave Unit 4BManhattan, NY 10027",New York,New York County,New York,Manhattan,380,"380 Lenox Ave #4b, New York, NY 10037, USA",40.810446,-73.943187,5.531840413348807,871.6875871687587,,Condo
Brokered by Keller Williams Rty Gold Coast,Co-op for sale,449000,2,1.0,2184.207862,7538 263rd St Unit A1,"Glen Oaks, NY 11004","7538 263rd St Unit A1Glen Oaks, NY 11004",New York,Queens County,Queens,Glen Oaks,75-38,"75-38 263rd St a1, Glen Oaks, NY 11004, USA",40.7493102,-73.7118303,11.76701331458282,205.56651581176297,,Co-op
Brokered by Serhant,Condo for sale,7990000,5,4.0,5202.0,46 Laight St Unit Maisonette,"New York, NY 10013","46 Laight St Unit MaisonetteNew York, NY 10013",United States,New York,New York County,New York,Laight Street,"46 Laight St, New York, NY 10013, USA",40.7221603,-74.0078633,3.8471428361794406,1535.9477124183006,,Condo
Brokered by ANNE - Anne Weintraub,Co-op for sale,3950000,2,2.0,2184.207862,1 Fifth Ave Unit 19G,"New York, NY 10003","1 Fifth Ave Unit 19GNew York, NY 10003",New York County,New York,Manhattan,5th Avenue,Glucksman Ireland House,"Glucksman Ireland House, 1 5th Ave #19c, New York, NY 10003, USA",40.7316673,-73.996478,3.207033364730898,1808.4359408829926,,Co-op
Brokered by Douglas Elliman - 280 Metropolitan,Multi-family home for sale,1399000,4,4.0,2049.0,980A Gates Ave,"Brooklyn, NY 11221","980A Gates AveBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Gates Avenue,"980A Gates Ave, Brooklyn, NY 11221, USA",40.6890219,-73.9244415,2.928642177363479,682.772083943387,Brooklyn,Multi-family
"Brokered by Nest Seekers International, Tribeca",Condo for sale,7750000,3,3.0,2184.207862,65 W 13th St Ph 1B,"New York, NY 10011","65 W 13th St Ph 1BNew York, NY 10011",New York County,New York,Manhattan,West 13th Street,Arnhold Hall,"Arnhold Hall, 65 W 13th St Ph 1B, New York, NY 10011, USA",40.7366739,-73.9966616,3.242873194332304,3548.197099200808,,Condo
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1049000,4,3.0,2400.0,750 Kappock St Unit 611-614,"Bronx, NY 10463","750 Kappock St Unit 611-614Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,750,"750 Kappock St 611 614, Bronx, NY 10463, USA",40.881939,-73.9204858,10.484381599676762,437.0833333333333,,Co-op
Brokered by Elite Real Estate Group 1 Llc,House for sale,995000,4,3.0,2000.0,2220 Tiemann Ave,"Bronx, NY 10469","2220 Tiemann AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Tiemann Avenue,"2220 Tiemann Ave, Bronx, NY 10469, USA",40.8580267,-73.837909,10.169929640413212,497.5,,House
Brokered by COMPASS,Co-op for sale,3195000,3,3.0,2184.207862,875 5th Ave Unit 9A,"Manhattan, NY 10065","875 5th Ave Unit 9AManhattan, NY 10065",New York,New York County,New York,Manhattan,875,"875 5th Ave #9a, New York, NY 10065, USA",40.7701916,-73.9682413,3.2346451389801807,1462.7728686382686,,Co-op
Brokered by Douglas Elliman - Bayside,Co-op for sale,360000,2,2.0,2184.207862,211-35 23rd Ave Unit 5F,"Bayside, NY 11360","211-35 23rd Ave Unit 5FBayside, NY 11360",New York,Queens County,Queens,Bayside,211-35,"211-35 23rd Ave #5f, Bayside, NY 11360, USA",40.7806336,-73.7800528,8.827229258360838,164.81947815642465,,Co-op
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,750000,3,2.0,1600.0,1070 Park Avenue Ave Units MAIS & 1A,"Manhattan, NY 10128","1070 Park Avenue Ave Units MAIS & 1AManhattan, NY 10128",United States,New York,New York County,New York,Park Avenue,"1070 Park Ave, New York, NY 10128, USA",40.7813792,-73.9554399,3.6636792836118692,468.75,,Co-op
Brokered by Remax Edge - RE/MAX EDGE,Co-op for sale,300000,1,1.0,800.0,2942 W 5th St Apt 11S,"Brooklyn, NY 11224","2942 W 5th St Apt 11SBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,2942,"2942 W 5th St #11d, Brooklyn, NY 11224, USA",40.5774084,-73.9732594,10.77127966077342,375.0,,Co-op
Brokered by Staten Island Premiere Properties,House for sale,675888,3,1.0,1662.0,3744 Amboy Rd,"Staten Island, NY 10308","3744 Amboy RdStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Amboy Road,"3744 Amboy Rd, Staten Island, NY 10308, USA",40.5517925,-74.1441587,16.51136634506487,406.6714801444043,Staten Island,House
Brokered by COMPASS,Townhouse for sale,4400000,3,2.3738608579684373,2400.0,428 Clinton St,"Brooklyn, NY 11231","428 Clinton StBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,Clinton Street,"428 Clinton St, Brooklyn, NY 11231, USA",40.6819385,-73.9985074,4.721202466877248,1833.3333333333333,Brooklyn,Townhouse
Brokered by Gittens Quick Sale Realty Inc,Co-op for sale,215000,1,1.0,2184.207862,118-66 Metropolitan Ave Unit 1D,"Kew Gardens, NY 11415","118-66 Metropolitan Ave Unit 1DKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,118-66,"118-66 Metropolitan Ave #1d, Kew Gardens, NY 11415, USA",40.7062291,-73.8326755,5.629186290938444,98.43385501008694,,Co-op
Brokered by Cross Country Realty,Condo for sale,250000,3,1.0,2184.207862,380 Cozine Ave Apt 2A,"Brooklyn, NY 11207","380 Cozine Ave Apt 2ABrooklyn, NY 11207",New York,Kings County,Brooklyn,East New York,380,"380 Cozine Ave #2a, Brooklyn, NY 11207, USA",40.6576494,-73.8782466,5.8590391121880385,114.45797094196156,Brooklyn,Condo
Brokered by Mattia Realty Inc,Multi-family home for sale,2749000,3,6.0,4480.0,2163 E 17th St,"Brooklyn, NY 11229","2163 E 17th StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,East 17th Street,"2163 E 17th St, Brooklyn, NY 11229, USA",40.5974982,-73.9539607,9.249415871715687,613.6160714285714,,Multi-family
Brokered by Douglas Elliman - Franklin Square,Townhouse for sale,860000,3,2.0,2000.0,971 E 40th St,"Brooklyn, NY 11210","971 E 40th StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 40th Street,"971 E 40th St, Brooklyn, NY 11210, USA",40.6315943,-73.9376928,6.842605224539956,430.0,Brooklyn,Townhouse
Brokered by Serhant,Condo for sale,1195000,1,1.0,713.0,57 Reade St Apt 12E,"New York, NY 10007","57 Reade St Apt 12ENew York, NY 10007",New York,New York County,New York,Manhattan,57,"57 Reade St #12e, New York, NY 10007, USA",40.7147947,-74.0064392,3.8850660718986934,1676.01683029453,,Condo
Brokered by East Coast REALTORS Inc,House for sale,825000,3,2.0,1400.0,112-30 38th Ave,"Corona, NY 11368","112-30 38th AveCorona, NY 11368",United States,New York,Queens County,Queens,38th Avenue,"112-30 38th Ave, Flushing, NY 11368, USA",40.7537084,-73.8542469,4.530463861316212,589.2857142857143,,House
Brokered by TREBACH REALTY INC,Co-op for sale,295000,2,1.0,2184.207862,3512 Oxford Ave Apt 1E,"Bronx, NY 10463","3512 Oxford Ave Apt 1EBronx, NY 10463",Bronx County,The Bronx,Riverdale,Oxford Avenue,Parking lot,"Parking lot, 3512 Oxford Ave #1e, Bronx, NY 10463, USA",40.8858375,-73.9088586,10.813691995403488,135.06040571151465,,Co-op
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate,Condo for sale,599000,1,1.0,2184.207862,158 E 100th St Apt 2R,"New York, NY 10029","158 E 100th St Apt 2RNew York, NY 10029",New York,New York County,New York,Manhattan,158,"158 E 100th St #2r, New York, NY 10029, USA",40.7879956,-73.9485879,4.026056838869042,274.2412983769399,,Condo
Brokered by Island Advantage Realty Llc,Multi-family home for sale,1169900,6,4.0,2310.0,102-33 46th Ave,"Corona, NY 11368","102-33 46th AveCorona, NY 11368",United States,New York,Queens County,Queens,46th Avenue,"102-33 46th Ave, Flushing, NY 11368, USA",40.7462943,-73.8609962,4.035184069317723,506.45021645021643,,Multi-family
Brokered by Carina Realty Inc,House for sale,2795000,6,6.0,3600.0,14 St Marks Pl,"Brooklyn, NY 11217","14 St Marks PlBrooklyn, NY 11217",United States,New York,Kings County,Brooklyn,Saint Marks Place,"14 St Marks Pl, Brooklyn, NY 11217, USA",40.6824096,-73.9820791,4.136369595062608,776.3888888888889,Brooklyn,House
Brokered by Corcoran Chelsea/Flatiron,House for sale,6250000,4,2.0,4500.0,26 E 22nd St # 2/3,"New York, NY 10010","26 E 22nd St # 2/3New York, NY 10010",United States,New York,New York County,New York,East 22nd Street,"26 E 22nd St, New York, NY 10010, USA",40.739891,-73.9882646,2.8490957258903085,1388.888888888889,,House
