BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Distance,PRICE_BY_SQFT,Borough,House_Type
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2.0,1400.0,2 E 55th St Unit 803,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,East 55th Street,Regis Residence,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,2.9500611260565526,225.0,,Condo
Brokered by Sowae Corp,House for sale,260000,4,2.0,2015.0,620 Sinclair Ave,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Sinclair Avenue,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,18.90147040446345,129.03225806451613,Staten Island,House
Brokered by COMPASS,Condo for sale,69000,3,1.0,445.0,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,2.9618634757626405,155.0561797752809,,Condo
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,5 E 64th St,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,3.1116796353901788,3880.0705467372136,,Townhouse
Brokered by Sowae Corp,House for sale,690000,5,2.0,4004.0,584 Park Pl,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,Park Place,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,4.076334760901878,172.32767232767233,Brooklyn,House
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2.0,2184.207862,157 W 126th St Unit 1B,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,Manhattan,157,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,5.480579891515788,411.8197794491777,,Condo
Brokered by Connie Profaci Realty,House for sale,16800000,8,16.0,33000.0,177 Benedict Rd,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Benedict Road,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,12.97256390493665,509.09090909090907,Staten Island,House
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1.0,750.0,875 Morrison Ave Apt 3M,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,Parking lot,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,7.05338796690548,353.3333333333333,,Co-op
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1.0,978.0,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1350,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,8.139742337889137,449.89775051124747,,Co-op
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1.0,850.0,800 Grand Concourse Apt 2JS,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,800,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,6.544311008761081,441.1764705882353,,Co-op
Brokered by Re/Max Edge,Townhouse for sale,689000,3,2.3738608579684373,1162.0,456 Van Name Ave,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Van Name Avenue,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,13.646333226425853,592.9432013769364,,Townhouse
Brokered by COMPASS,Co-op for sale,259000,3,1.0,2184.207862,34-41 85th St Unit 1D,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,34-41,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,3.197435641217418,118.57845789587218,,Co-op
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2.0,2184.207862,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,91-15,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,3.3056446240756583,196.8677100201739,,Co-op
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1.0,2184.207862,61 Jane St Apt 6N,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,Manhattan,61,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,3.7367556684209555,409.75953597222235,,Co-op
Brokered by Awaye Realty,Condo for sale,549000,2,2.0,1000.0,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,Annadale,4654,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,17.89400784224442,549.0,Staten Island,Condo
Brokered by Realty Executives Today,Townhouse for sale,975000,3,2.0,1734.0,28-31 Hobart St,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",United States,New York,Queens County,Queens,Hobart Street,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,2.595881241030561,562.2837370242214,,Townhouse
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1.0,325.0,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,9.423890699020546,612.3076923076923,,Co-op
Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1.0,700.0,5800 Arlington Ave Apt 21A,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,12.304818323276523,500.0,,Co-op
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2.0,974.0,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,3.571107410501485,614.9897330595483,,Condo
Brokered by Radiant Estates LLC,House for sale,639999,3,2.0,1260.0,27 Clove Way,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Way,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,11.953013441176276,507.9357142857143,,House
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2.0,1244.0,10724 71st Rd Apt 9F,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,10724,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,4.880200121797969,1045.016077170418,Brooklyn,Condo
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3.0,2837.0,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,New York,Bronx County,The Bronx,Throgs Neck Expressway,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,9.29800999728426,387.73352132534365,,Multi-family
Brokered by Martino Realty Group,Condo for sale,349900,1,1.0,651.0,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Richmond County,Staten Island,Dongan Hills,165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,12.842628513627384,537.4807987711214,Staten Island,Condo
Brokered by Elizabeth Marra,House for sale,750000,2,2.0,1330.0,280 Loretto St,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Loretto Street,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,22.363029271057584,563.9097744360902,,House
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4.0,2200.0,149-07 85 Rd,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",United States,New York,Queens County,Queens,85th Road,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,6.726840760596884,768.1818181818181,,Multi-family
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,2.9615600975599334,148.79536222455002,,Co-op
Brokered by Century 21 Realty First,Multi-family home for sale,2250000,12,2.3738608579684373,5670.0,2361 81st St,"Brooklyn, NY 11214","2361 81st StBrooklyn, NY 11214",11214,United States,New York,Kings County,81st Street,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399,9.246855371350694,396.8253968253968,,Multi-family
Brokered by Du Chris Realty,Co-op for sale,230000,1,1.0,2184.207862,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",United States,New York,Queens County,Queens,Junction Boulevard,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,3.6734672977297254,105.30133326660463,,Co-op
Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,11.242404126003606,411.8783269961977,Staten Island,Multi-family
NoBroker,Multi-family home for sale,925000,5,2.0,2750.0,543 Hollywood Ave,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Hollywood Avenue,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,8.93748467919394,336.3636363636364,,Multi-family
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2.0,794.0,47 Lynn Ct,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Lynn Court,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,13.581928700551867,414.35768261964733,,Condo
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8.0,5040.0,366 Union Ave Unit 4,"Staten Island, NY 10303","366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island,Mariners Harbor,366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,13.68417671253835,257.93650793650795,,Multi-family
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4.0,2080.0,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Hinsdale Street,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,5.14912385553315,407.6923076923077,Brooklyn,Multi-family
Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1.0,750.0,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,7.8524624687082305,372.0,,Co-op
Brokered by Ashford Homes LLC,Condo for sale,528000,1,1.0,602.0,1238 63rd St Unit 432,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,7.922421487587653,877.0764119601329,Brooklyn,Condo
Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,11.242404126003606,411.8783269961977,Staten Island,Multi-family
Brokered by E Realty International Corp,Co-op for sale,275000,1,1.0,2184.207862,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355","44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens County,Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,6.165975379976978,125.90376803615771,,Co-op
Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1.0,815.0,338 Berry St Apt 4E,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn,Williamsburg,338,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,2.019538201559424,1429.4478527607362,,Condo
Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5.0,3290.0,10 Simon Ct,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Simon Court,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,21.656238914890096,364.4376899696049,Staten Island,Multi-family
Brokered by Exp Realty,Multi-family home for sale,700000,6,2.0,3053.0,229 W Tremont Ave Unit A,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County,The Bronx,West Tremont Avenue,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,8.493295513513035,229.28267278087128,Manhattan,Multi-family
Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4.0,3200.0,2226 63rd St,"Brooklyn, NY 11204","2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,63rd Street,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,8.355827324258192,671.875,,Multi-family
Brokered by E Realty International Corp,Multi-family home for sale,1280000,7,5.0,2460.0,86-05 91st Ave,"Woodhaven, NY 11421","86-05 91st AveWoodhaven, NY 11421",United States,New York,Queens County,Queens,91st Avenue,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,5.0622762204558835,520.3252032520326,Brooklyn,Multi-family
Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1.0,2184.207862,828 Gerard Ave Apt 5F,"Bronx, NY 10451","828 Gerard Ave Apt 5FBronx, NY 10451",New York,Bronx County,The Bronx,Concourse,828,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625,6.612340682623256,91.52059356519246,,Co-op
Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1.0,2184.207862,43-40 Union St Unit 3D,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,Flushing,43-40,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077,6.189983861545829,168.93996511033527,,Co-op
Brokered by Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3.0,1591.0,111-31 141st St,"Jamaica, NY 11435","111-31 141st StJamaica, NY 11435",United States,New York,Queens County,Queens,141st Street,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,7.629468839354589,439.3463230672533,,Multi-family
Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2.0,2400.0,123 Prince St Unit 1,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,3.4052521152783806,1770.8333333333333,,Co-op
Brokered by Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2.0,2184.207862,32-39 Jordan St,"Flushing, NY 11358","32-39 Jordan StFlushing, NY 11358",United States,New York,Queens County,Queens,Jordan Street,"32-39 Jordan St, Flushing, NY 11358, USA",40.768457,-73.789417,8.068523681261365,377.71130410847314,,Multi-family
Brokered by American Homes Group,Condo for sale,329000,2,1.0,837.0,55 Austin Pl Apt 4L,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island,Mid Island,55,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344,10.438316196736778,393.0704898446834,,Condo
Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2.0,1520.0,17 S Greenleaf Ave,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,South Greenleaf Avenue,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917,12.444423062551188,584.8684210526316,,Multi-family
Brokered by First Class Homes Inc,Multi-family home for sale,769000,2,2.0,2184.207862,101-55 112th St,"Richmond Hill South, NY 11419","101-55 112th StRichmond Hill South, NY 11419",United States,New York,Queens County,Queens,112th Street,"101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133,6.245588429121243,352.07271861747375,,Multi-family
Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2.0,2536.0,66 Bay 22nd St,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,Bay 22nd Street,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526,9.388833459435231,473.18611987381706,,Multi-family
Brokered by VYLLA HOME,Co-op for sale,220500,2,1.0,900.0,350 Richmond Ter Apt 3M,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,350,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983,9.687922702621071,245.0,,Co-op
Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3.0,2739.0,259 80th St,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,80th Street,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598,8.638713686668348,729.8284045271997,Brooklyn,Multi-family
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,3250000,2,2.0,1300.0,240 Centre St Unit 2M,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan,Centre Street,The Police Building,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266,3.36874280699925,2500.0,Manhattan,Co-op
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2.0,1267.0,473 Hicks St Apt 4,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,473,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131,4.543657496374745,1302.2888713496448,Brooklyn,Condo
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4.0,2554.0,342 Manhattan St,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Manhattan Street,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531,22.555753179826784,410.72826938136257,,Multi-family
Brokered by American Homes Group,House for sale,998800,3,4.0,2400.0,1191 Clove Rd,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Road,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996,11.80170479645771,416.1666666666667,,House
Brokered by American Homes Group,House for sale,998800,3,4.0,2400.0,Waldron Ave,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",10301,United States,New York,Richmond County,Mid Island,"Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085,11.66716055526427,416.1666666666667,,House
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1.0,2184.207862,263 W End Ave Apt 14C,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York,Manhattan,263,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328,4.294126488014582,388.69926931890143,,Co-op
Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1.0,800.0,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,10.86657498527859,699.375,,Co-op
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1.0,835.0,333 E 66th St Apt 8E,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,Manhattan,333,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,2.652352856016747,898.2035928143713,,Co-op
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2.0,1029.0,150 Rivington St Apt 3G,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,Manhattan,150,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438,2.7516509371211124,1846.45286686103,,Condo
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2.0,1201.0,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,1105,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099,6.484682406085386,1040.7993338884264,Brooklyn,Condo
Brokered by COMPASS,Condo for sale,1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,3.892729596657544,1180.2030456852792,Brooklyn,Condo
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1.0,2184.207862,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,83-55,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466,4.763208949923943,90.65071298603355,Brooklyn,Co-op
Brokered by Ashford Homes,Multi-family home for sale,1489000,6,2.3738608579684373,3780.0,205 Wiman Ave,"Staten Island, NY 10308","205 Wiman AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Wiman Avenue,"205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877,17.18625909289014,393.9153439153439,Staten Island,Multi-family
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,4 E 79th St,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,East 79th Street,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167,3.4985215659322555,4276.315789473684,,Townhouse
Brokered by Serhant,Condo for sale,1595000,3,3.0,1413.0,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Lafayette Avenue,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444,2.7013303421511026,1128.8039631988677,Brooklyn,Condo
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2.0,803.0,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Jefferson Avenue,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036,2.757988246022272,815.6911581569116,Brooklyn,Condo
Brokered by Serhant,Condo for sale,1175000,2,2.0,1115.0,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,924,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444,2.7013303421511026,1053.8116591928251,Brooklyn,Condo
Brokered by E Realty International Corp,Multi-family home for sale,2880000,9,2.3738608579684373,2350.0,16-33 166th St,"Whitestone, NY 11357","16-33 166th StWhitestone, NY 11357",United States,New York,Queens County,Queens,166th Street,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588,8.108043364484303,1225.531914893617,,Multi-family
Brokered by Momentum Real Estate LLC,Multi-family home for sale,798000,3,4.0,2150.0,425 Father Capodanno Blvd,"Staten Island, NY 10305","425 Father Capodanno BlvdStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Father Capodanno Boulevard,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056,12.155800528068156,371.16279069767444,Staten Island,Multi-family
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,3.7252750369474454,1549.2957746478874,,Condo
Brokered by COMPASS,Townhouse for sale,12950000,5,4.0,3344.0,214 W 11th St,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",United States,New York,New York County,New York,West 11th Street,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035,3.507188321546088,3872.6076555023924,,Townhouse
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2.0,2223.0,250 E 21st St Unit 12B,"Manhattan, NY 10010","250 E 21st St Unit 12BManhattan, NY 10010",New York,New York County,New York,Manhattan,250,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819,2.4974537150735068,2586.5946918578497,Manhattan,Condo
Brokered by Sowae Corp,Multi-family home for sale,250000,5,2.0,2184.207862,130-24 150th St,"Jamaica, NY 11436","130-24 150th StJamaica, NY 11436",United States,New York,Queens County,Queens,150th Street,"130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339,8.744639930355419,114.45797094196156,,Multi-family
Brokered by Keller Williams Realty Empire,House for sale,585000,3,2.0,1100.0,192 Colfax Ave,"Staten Island, NY 10306","192 Colfax AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Colfax Avenue,"192 Colfax Ave, Staten Island, NY 10306, USA",40.5784263,-74.105437,13.78968037073827,531.8181818181819,Staten Island,House
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6.0,2184.207862,8200 Narrows Ave,"Brooklyn, NY 11209","8200 Narrows AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Narrows Avenue,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695,8.885481876474284,4006.0289829686544,Brooklyn,House
